application_id,gender,age,region,education,experience_years,annual_income,credit_score,loan_amount,application_date,decision,processing_time_days,consent_for_fairness_audit
APP10001,Male,37.0,West,Master,12,88167.0,729.0,14379.0,2025-08-02,Approved,4.9,Yes
APP10002,Female,29.0,North,Master,8,109733.0,734.0,42485.0,2025-10-18,Approved,6.3,Yes
APP10003,Female,53.0,South,Bachelor,26,36097.0,621.0,19569.0,2025-01-22,Approved,6.0,Yes
APP10004,Female,40.0,North,Master,14,40903.0,698.0,23441.0,2025-07-12,Approved,3.7,Yes
APP10005,Male,33.0,South,Bachelor,13,61286.0,609.0,31977.0,2025-05-30,Rejected,2.9,No
APP10006,Male,48.0,East,High School,24,67441.0,749.0,22561.0,2025-09-04,Approved,4.7,Yes
APP10007,Male,49.0,East,High School,24,82313.0,703.0,38321.0,2025-09-24,Approved,2.8,Yes
APP10008,Female,33.0,West,Bachelor,10,45395.0,696.0,20145.0,2025-09-08,Approved,2.5,Yes
APP10009,Female,55.0,South,Bachelor,34,41612.0,739.0,20326.0,2025-01-03,Approved,3.1,Yes
APP10010,Female,26.0,East,Master,3,68038.0,669.0,37624.0,2025-11-12,Approved,2.9,Yes
APP10011,Male,38.0,South,High School,18,59315.0,759.0,15843.0,2025-03-17,Approved,4.0,Yes
APP10012,Non-Binary,25.0,East,Master,0,85388.0,619.0,27987.0,2025-03-28,Rejected,2.7,No
APP10013,Female,45.0,North,High School,24,75722.0,796.0,5074.0,2025-09-27,Approved,3.6,Yes
APP10014,Male,22.0,East,Master,1,77218.0,649.0,46836.0,2025-08-13,Approved,5.6,Yes
APP10015,Male,30.0,North,PhD,2,62701.0,563.0,39479.0,2025-01-18,Approved,3.7,Yes
APP10016,Male,50.0,East,Bachelor,26,116823.0,665.0,58001.0,2025-04-23,Approved,5.5,Yes
APP10017,Male,25.0,West,Master,4,46570.0,657.0,41060.0,2025-09-08,Approved,5.1,Yes
APP10018,Female,53.0,North,High School,23,66535.0,665.0,11444.0,2025-08-21,Approved,4.3,Yes
APP10019,Male,21.0,East,Master,0,37067.0,707.0,33024.0,2025-11-25,Approved,3.0,Yes
APP10020,Male,38.0,West,Bachelor,10,41384.0,772.0,13984.0,2025-10-06,Approved,4.9,Yes
APP10021,Female,52.0,North,Master,32,51638.0,676.0,43936.0,2025-07-21,Approved,3.2,Yes
APP10022,Male,31.0,West,High School,1,100845.0,638.0,11786.0,2025-03-24,Approved,3.5,Yes
